1,G-3 Police Station,G-3 Police Station,"SH 114,Sastri Nagar, Chetpet, Chennai, Tamil Nadu 600031","SH 114,Sastri Nagar, Chetpet, Chennai, Tamil Nadu 600031",044 2836 2307,https://goo.gl/maps/EwpH48awqmrBUZQq7
1,P-4 Basin Bridge Police Station,P-4 Basin Bridge Police Station,"189, Demellows Road, Chennai - 12","189, Demellows Road, Chennai - 12",,https://goo.gl/maps/kLKdvUJHjfpBXQeU9
1,P-1 Pulianthope Police Station,P-1 Pulianthope Police Station,"Pulianthope High road, Pulianthope, Chennai-600012 ","Pulianthope High road, Pulianthope, Chennai-600012 ",044 2345 2522,https://goo.gl/maps/hxvHpuHXns7fo84k7
1,G-2 Periyamet Police Station,G-2 Periyamet Police Station,"Raja Muthiah Road, Periyamet, Chennai, Tamil Nadu 600003","Raja Muthiah Road, Periyamet, Chennai, Tamil Nadu 600003",044 2345 2696,https://goo.gl/maps/8Fq23SnUxjhNMNGL6
1,G-1 Veppery Police Station,G-1 Veppery Police Station,"Vepery high road, Chennai-600007","Vepery high road, Chennai-600007",044 2345 2690,https://goo.gl/maps/VgP7W1b9PfYG7EEs6
1,G-7 Chetpet Police Station,G-7 Chetpet Police Station,"98, 14, MC Nicholas Rd, MS Colony, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031","98, 14, MC Nicholas Rd, MS Colony, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031",044 2345 2687,https://goo.gl/maps/LzFNL3dfUuALr6bM6
2,Electricity Board office,Electricity Board office,"Tag Auditorium, 6, Kilpauk Garden Road, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010","Tag Auditorium, 6, Kilpauk Garden Road, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010",,https://goo.gl/maps/dY9FrD8TAGUBfD3c9
2,EB Office(Central),EB Office(Central),"Lumbini Square, Purasaiwakkam, Chennai, Tamil Nadu 600010","Lumbini Square, Purasaiwakkam, Chennai, Tamil Nadu 600010",,https://goo.gl/maps/BiYAG6j8xm3GvXGq9
2,TNEB Payment Counter,TNEB Payment Counter,"Venkatesapuram Colony Extension, Kilpauk, Chennai, Tamil Nadu 600010","Venkatesapuram Colony Extension, Kilpauk, Chennai, Tamil Nadu 600010",,https://goo.gl/maps/mdHFDCmUCoPq1QbBA
2,TNEB Spur tank road SS,TNEB Spur tank road SS,"18, E Spur Tank Rd, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031, E Spur Tank Rd, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031","18, E Spur Tank Rd, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031, E Spur Tank Rd, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031",,https://goo.gl/maps/EXrHFsvRG7dCsJYaA
6,Purasawalkam Tank Bus stop,Purasawalkam Tank Bus stop,"Near Gangadeeshwarar Temple, Gangadeeshwar Koil St, Purasaiwakkam, Chennai, Tamil Nadu 600084","Near Gangadeeshwarar Temple, Gangadeeshwar Koil St, Purasaiwakkam, Chennai, Tamil Nadu 600084",,https://goo.gl/maps/toFMACBRpfeLSeGK7
6,Dasaprakash Bus stop,Dasaprakash Bus stop,"EVR Rd, Egmore, Chennai, Tamil Nadu 600084","EVR Rd, Egmore, Chennai, Tamil Nadu 600084",,https://goo.gl/maps/CrQd3WTMaboVQzS8A
6,KJ Hospital Bus stop,KJ Hospital Bus stop,"Bus stop, 824, 3, Barnaby Rd, Chetpet, Chennai, Tamil Nadu 600008","Bus stop, 824, 3, Barnaby Rd, Chetpet, Chennai, Tamil Nadu 600008",,https://goo.gl/maps/5DEG2CTnqpEpPCJ59
6,Chetpet Bus stop,Chetpet Bus stop,"Chetpet, Chennai, Tamil Nadu 600031","Chetpet, Chennai, Tamil Nadu 600031",,https://goo.gl/maps/mXWQqqWCEzEAkFs38
6,Taylors Road Bus stop,Taylors Road Bus stop,"EVR Rd, Chetpet, Chennai, Tamil Nadu 600031","EVR Rd, Chetpet, Chennai, Tamil Nadu 600031",,https://goo.gl/maps/yxxrHrp28DFdxQqG7
6,Pachayappas College Bus stop,Pachayappas College Bus stop,"Pachiappas College Bus Stop, Poonamallee High Rd, Thandavaraya, Shenoy Nagar, Chennai, Tamil Nadu 600030","Pachiappas College Bus Stop, Poonamallee High Rd, Thandavaraya, Shenoy Nagar, Chennai, Tamil Nadu 600030",,https://goo.gl/maps/NE2Eeqi4sfEAzEDdA
6,Poonamalle Bus stop,Poonamalle Bus stop,"Poonamalle Bus Depot, Tamil NaduPrabu, Muthamil Nagar, Poonamallee, Chennai, Tamil Nadu 600056","Poonamalle Bus Depot, Tamil NaduPrabu, Muthamil Nagar, Poonamallee, Chennai, Tamil Nadu 600056",,https://goo.gl/maps/BkwVPdgpnji1SZL79
5,K.J. Hospital Research and Post graduate Centre,K.J. Hospital Research and Post graduate Centre,"182, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084","182, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 2641 1513,https://goo.gl/maps/FyDyc8XfqfUQj9hK7
5,Sudha IVF Fertility Centre,Sudha IVF Fertility Centre,"No.940, EVR Periyar Road, Poonamallee High Rd, opp. Old Dasprakash Hotel, Purasaiwakkam, Chennai, Tamil Nadu 600084","No.940, EVR Periyar Road, Poonamallee High Rd, opp. Old Dasprakash Hotel, Purasaiwakkam, Chennai, Tamil Nadu 600084",076700 76006,https://goo.gl/maps/yeMdTJTvSgAzYQkY7
5,High Tech Diagnostic Centre,High Tech Diagnostic Centre,"Gks Towers, EVR Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084","Gks Towers, EVR Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 4291 9999,https://goo.gl/maps/aGjy1X6GLYPz3FPZ9
5,Metro Scans,Metro Scans,"No:59, Gangadeeshwar Koil St, Purasaiwakkam, Chennai, Tamil Nadu 600084","No:59, Gangadeeshwar Koil St, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 2532 4455,https://goo.gl/maps/vAhZBL4sbcWrjtJc6
5,Padma Jayaram speciality Clinic,Padma Jayaram speciality Clinic,"7th St, Purasaiwakkam, Chennai, Tamil Nadu 600084","7th St, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 4353 9090,https://goo.gl/maps/UdSFA6axrKBaWBDW8
5,Kola Saraswathi Agarwal Samaj Health Centre,Kola Saraswathi Agarwal Samaj Health Centre,"Shop Number 25, Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084","Shop Number 25, Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 4264 6442,https://goo.gl/maps/sPMX6DRuT7rhKVNP8
